Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
1,Wii Sports,Wii,2006.0,Sports,Nintendo,41.36,28.96,3.77,8.45,82.54,76.0,51.0,8.0,324.0,E
2,Super Mario Bros.,NES,1985.0,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,,,,,
3,Mario Kart Wii,Wii,2008.0,Racing,Nintendo,15.68,12.8,3.79,3.29,35.57,82.0,73.0,8.3,712.0,E
4,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.61,10.95,3.28,2.95,32.78,80.0,73.0,8.0,193.0,E
5,Pokemon Red/Pokemon Blue,G,1996.0,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,,,,,
6,Tetris,G,1989.0,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,,,,,
7,New Super Mario Bros.,DS,2006.0,Platform,Nintendo,11.28,9.15,6.5,2.88,29.81,89.0,65.0,8.5,433.0,E
8,Wii Play,Wii,2006.0,Misc,Nintendo,13.96,9.18,2.93,2.84,28.92,58.0,41.0,6.6,129.0,E
9,New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,14.48,6.95,4.7,2.25,28.38,87.0,80.0,8.4,595.0,E
10,Duck Hunt,NES,1984.0,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,,,,,
11,Nintendogs,DS,2005.0,Simulation,Nintendo,9.05,10.95,1.93,2.74,24.67,,,,,
12,Mario Kart DS,DS,2005.0,Racing,Nintendo,9.71,7.48,4.13,1.9,23.22,91.0,64.0,8.6,465.0,E
13,Pokemon Gold/Pokemon Silver,G,1999.0,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,,,,,
14,Wii Fit,Wii,2007.0,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7,80.0,63.0,7.7,146.0,E
15,Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,15.02,4.91,0.24,1.69,21.86,61.0,45.0,6.3,106.0,E
16,Wii Fit Plus,Wii,2009.0,Sports,Nintendo,9.01,8.49,2.53,1.77,21.79,80.0,33.0,7.4,52.0,E
17,Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,7.02,9.14,0.98,3.97,21.12,97.0,50.0,8.2,4009.0,M
18,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95.0,80.0,9.0,1606.0,M
19,Super Mario World,SNES,1990.0,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,,,,,
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,4.74,9.2,4.16,2.04,20.15,77.0,58.0,7.9,50.0,E
21,Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,Nintendo,6.38,4.46,6.04,1.36,18.25,,,,,
22,Super Mario Land,G,1989.0,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,,,,,
23,Super Mario Bros. 3,NES,1988.0,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,,,,,
24,Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,9.66,5.17,0.06,1.41,16.3,97.0,58.0,8.1,3722.0,M
25,Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95.0,62.0,8.7,736.0,M
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,,,,,
27,Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,3.43,5.35,5.32,1.18,15.29,77.0,37.0,7.1,19.0,E
28,Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,Nintendo,5.51,3.18,5.66,0.8,15.14,,,,,
29,Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95.0,54.0,8.4,314.0,E
30,Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,Nintendo,5.39,4.37,4.36,0.8,14.92,,,,,
31,Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision,6.08,5.95,0.36,2.41,14.8,,,,,
32,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,9.06,4.26,0.13,1.33,14.77,88.0,81.0,3.4,8715.0,M
33,Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,9.73,3.7,0.11,1.13,14.67,87.0,89.0,6.3,1456.0,M
34,Pok\xc3\xa9mon Yellow: Special Pikachu Edition,G,1998.0,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,,,,,
35,Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,4.99,5.73,0.65,2.42,13.79,83.0,21.0,5.3,921.0,M
36,Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,8.25,4.26,0.07,1.12,13.69,83.0,73.0,4.8,2261.0,M
37,Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,8.52,3.6,0.08,1.28,13.48,94.0,100.0,6.3,2702.0,M
38,Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,4.12,6.77,0.39,2.08,13.36,97.0,66.0,8.3,2955.0,M
39,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,5.54,5.73,0.49,1.57,13.32,88.0,39.0,3.2,5237.0,M
40,Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,97.0,56.0,8.5,667.0,M
41,Mario Kart 7,3DS,2011.0,Racing,Nintendo,5.2,4.19,2.7,0.94,13.04,85.0,73.0,8.2,633.0,E
42,Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,6.64,2.56,2.66,1.01,12.87,93.0,81.0,8.9,1667.0,T
43,Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,6.0,4.37,0.48,1.8,12.64,88.0,58.0,6.4,1095.0,M
44,Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13,86.0,57.0,8.6,243.0,E
45,Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,94.0,86.0,7.8,4109.0,M
46,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,Nintendo,4.45,3.64,3.1,0.76,11.95,,,,,
47,Super Mario 64,N64,1996.0,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,,,,,
48,Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,Nintendo,4.34,2.71,3.96,0.76,11.77,,,,,
49,Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,89.0,74.0,8.5,273.0,E
50,Pokemon Sun/Moon,3DS,2016.0,Role-Playing,Nintendo,5.01,2.74,2.88,0.77,11.4,,,,,
51,Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,6.06,3.36,1.2,0.74,11.36,97.0,73.0,8.9,2159.0,E
52,Super Mario Land 2: 6 Golden Coins,G,1992.0,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,,,,,
53,Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,6.77,3.07,0.14,1.03,11.01,98.0,86.0,7.9,2958.0,M
54,Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96.0,16.0,8.8,140.0,E
55,Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,4.89,3.05,2.14,0.78,10.87,90.0,82.0,8.4,925.0,E
56,Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,84.0,82.0,7.5,1115.0,E
57,Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,4.99,3.64,0.38,1.6,10.6,94.0,67.0,6.3,2077.0,M
58,Super Mario All-Stars,SNES,1993.0,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,,,,,
59,Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,4.77,3.7,0.44,1.61,10.51,98.0,64.0,7.5,2849.0,M
60,Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,,,,,
61,Super Mario 64,DS,2004.0,Platform,Nintendo,5.01,3.07,1.25,0.97,10.31,,,,,
62,Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,6.75,2.58,0.04,0.91,10.28,73.0,29.0,2.6,2118.0,M
63,Just Dance 3,Wii,2011.0,Misc,Ubisoft,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0,E10+
64,New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,3.66,3.27,2.49,0.63,10.05,78.0,70.0,7.2,425.0,E
65,Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,7.06,1.97,0.08,0.79,9.9,91.0,99.0,7.9,2053.0,M
66,Mario Kart 64,N64,1996.0,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,,,,,
67,Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,6.68,2.3,0.04,0.74,9.77,87.0,87.0,7.0,3273.0,M
68,Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92.0,20.0,9.2,1297.0,T
69,Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93.0,23.0,9.0,135.0,T
70,Just Dance 2,Wii,2010.0,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24.0,E10+
71,Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,4.1,3.63,0.38,1.26,9.37,71.0,10.0,2.6,1049.0,M
72,Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,5.95,2.37,0.13,0.9,9.35,94.0,70.0,8.4,1322.0,M
73,Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,2.08,2.43,4.43,0.4,9.34,88.0,70.0,8.7,628.0,E
74,Donkey Kong Country,SNES,1994.0,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,,,,,
75,Minecraft,X360,2013.0,Misc,Microsoft Game Studios,5.76,2.7,0.02,0.82,9.3,,,,,
76,FIFA 17,PS4,2016.0,Sports,Electronic Arts,0.9,6.75,0.09,1.33,9.07,85.0,41.0,4.9,442.0,E
